Original_Name,New_Name,Duplicate,Read_Number,Concentration,Cruise,Use,Sed_or_Mus,Type,Depth_in_Meters,Lake,Month_Collected,Mussel_Classification ,Mass_of_Mussel,Mussel_Density,Sediment_Type,GPS_N _degrees,GPS_N _minutes,GPS_W_degrees,GPS_W_minutes
M15B2.S715,M15.B2.715,M15.B.715,3917,1.58,Transect,Sample,Sediment,Sediment,15,Michigan,July,,,,sand,43,11.302,86,20.675
M45B1.S715,M45.B1.715,M45.B.715,5784,1.09,Transect,Sample,Sediment,Sediment,45,Michigan,July,,,,clay,43,12.255,86,26.84
M45B2.S715,M45.B2.715,M45.B.715,4223,0.64,Transect,Sample,Sediment,Sediment,45,Michigan,July,,,,clay,43,12.255,86,26.84
MLBB1.S715,MLB.B1.715,MLB.B.715,6274,10.12,Transect,Sample,Sediment,Sediment,10,Muskegon,July,,,,black mud,43,14.225,86,16.787
MLBB2.S715,MLB.B2.715,MLB.B.715,5470,6.94,Transect,Sample,Sediment,Sediment,10,Muskegon,July,,,,black mud,43,14.225,86,16.787
110M1.715,110.M1.715,110.M.715,7875,31.03,Transect,Sample,Mussel,Whole Mussel,110,Michigan,July,Small,0.1,,black mud,43,12.044,86,33.951
110M2.715,110.M2.715,110.M.715,7553,30.69,Transect,Sample,Mussel,Whole Mussel,110,Michigan,July,Small,0.1,,black mud,43,12.044,86,33.951
M45M1.715,M45.M1.715,M45.M.715,11897,2.67,Transect,Sample,Mussel,Whole Mussel,45,Michigan,July,Small,0.2,,clay,43,12.255,86,26.84
M45M2.715,M45.M2.715,M45.M.715,2960,0.93,Transect,Sample,Mussel,Whole Mussel,45,Michigan,July,Small,0.1,,clay,43,12.255,86,26.84
M45B1.S615,M45.B1.615,M45.B.615,17351,6.31,Transect,Sample,Sediment,Sediment,45,Michigan,June,,,,clay,43,12.255,86,26.84
M45B2.S615,M45.B2.615,M45.B.615,16538,5.85,Transect,Sample,Sediment,Sediment,45,Michigan,June,,,,clay,43,12.255,86,26.84
110B1.S615,110.B1.615,110.B.615,10658,3.51,Transect,Sample,Sediment,Sediment,110,Michigan,June,,,,black mud,43,12.044,86,33.951
110B2.S615,110.B2.615,110.B.615,16192,4.67,Transect,Sample,Sediment,Sediment,110,Michigan,June,,,,black mud,43,12.044,86,33.951
M15B1.S615,M15.B1.615,M15.B.615,16128,5.76,Transect,Sample,Sediment,Sediment,15,Michigan,June,,,,sand,43,11.302,86,20.675
M15B2.S615,M15.B2.615,M15.B.615,13876,2.11,Transect,Sample,Sediment,Sediment,15,Michigan,June,,,,sand,43,11.302,86,20.675
MLBB1.S615,MLB.B1.615,MLB.B.615,20938,8.65,Transect,Sample,Sediment,Sediment,10,Muskegon,June,,,,black mud,43,14.225,86,16.787
MLBB2.S615,MLB.B2.615,MLB.B.615,18565,7.49,Transect,Sample,Sediment,Sediment,10,Muskegon,June,,,,black mud,43,14.225,86,16.787
110M1.615,110.M1.615,110.M.615,13377,15.5,Transect,Sample,Mussel,Whole Mussel,110,Michigan,June,Medium,0.3,,black mud,43,12.044,86,33.951
110M2.615,110.M2.615,110.M.615,8245,29.68,Transect,Sample,Mussel,Whole Mussel,110,Michigan,June,Small,0.2,,black mud,43,12.044,86,33.951
M45M1.615,M45.M1.615,M45.M.615,5108,17.37,Transect,Sample,Mussel,Whole Mussel,45,Michigan,June,Medium,0.4,,clay ,43,12.255,86,26.84
M45M2.615,M45.M2.615,M45.M.615,14817,25,Transect,Sample,Mussel,Whole Mussel,45,Michigan,June,Medium,0.3,,clay,43,12.255,86,26.84
110B2.S515,110.B2.515,110.B.515,9701,5.3,Transect,Sample,Sediment,Sediment,110,Michigan,May,,,,black mud,43,11.994,86,34.408
M15B1.S515,M15.B1.515,M15.B.515,7682,2.73,Transect,Sample,Sediment,Sediment,15,Michigan,May,,,,sand,,,,
M15B2.S515,M15.B2.515,M15.B.515,7175,1.93,Transect,Sample,Sediment,Sediment,15,Michigan,May,,,,sand,,,,
M45B1.S515,M45.B1.515,M45.B.515,11092,13.23,Transect,Sample,Sediment,Sediment,45,Michigan,May,,,,clay,43,12.305,86,26.889
M45B2.S515,M45.B2.515,M45.B.515,8945,25.05,Transect,Sample,Sediment,Sediment,45,Michigan,May,,,,clay,43,12.305,86,26.889
MLBB1.S515,MLB.B1.515,MLB.B.515,8792,8.13,Transect,Sample,Sediment,Sediment,10,Muskegon,May,,,,black mud,N/A,N/A,N/A,N/A
MLBB2.S515,MLB.B2.515,MLB.B.515,9677,14.67,Transect,Sample,Sediment,Sediment,10,Muskegon,May,,,,black mud,N/A,N/A,N/A,N/A
110B1.S515,110.B1.515,110.B.515,14213,7.66,Transect,Sample,Sediment,Sediment,110,Michigan,May,,,,black mud,43,11.994,86,34.408
